config_path,curve_source,data_integrity,electronic_kerr,energy_admission,git_sha,ionization_loss,ionization_model,job_id,linear_model,linear_precision_strategy,notes,peak_power_GW,phase,physics_use_status,plasma_phase,plot_curve,plot_label,pulse_duration_fs,raman_feedback,raman_model,raman_operator,record_count,result_id,result_path,self_steepening,slurm_status,transverse_profile,z_max_m
,"{""format"": ""csv"", ""path"": ""Filament_python/results/density_translation_width/density_translation_width_20260715_002/paper_pycap_120fs.csv"", ""rho_key"": ""rho_1e16_cm3"", ""rho_scale_to_m3"": 1e+22, ""x_key"": ""x_focus_cm""}",digitized_curve_local_csv,unknown,not_applicable_external_reference,,unknown,PyCAP implementation not public,,PyCAP implementation not public,baseline_complex64,External curve is used without re-digitization. Low-density onset may be left-censored by its published x range.,,external_reference,formal_physics_baseline,unknown,True,PyCAP 120 fs digitized,120.0,unknown,PyCAP implementation not public,PyCAP implementation not public,237,pycap_120fs_digitized,Filament_python/results/density_translation_width/density_translation_width_20260715_002/paper_pycap_120fs.csv,unknown,not_applicable,external digitized reference,
Filament_python/configs/ionization_model_propagation/120fs_talebpour_full_model.json,"{""format"": ""csv"", ""path"": ""Filament_python/results/ionization_model_propagation/talebpour_120fs_20260717T114321Z/baseline_axial_diagnostics.csv"", ""rho_key"": ""rho_max_z"", ""x_key"": ""x_focus_cm"", ""z_key"": ""z_m""}",local axial diagnostics finite; re-audit passed,on,formal_baseline_gate_passed,8dcd01ee38adf2167a2fd6083ae4785e94de89a0,on,ppt_talebpour_i_lut,175354,bk_nee,baseline_complex64,"Current pre-Phase-8B production baseline; fixed-coordinate 15,000-record local diagnostic archive.",17.0,phase5_phase6_baseline,formal_physics_baseline,on,True,Current 120 fs legacy Raman ON,120.0,phase_on; absorption_on,rot_sinexp,legacy_split,15000,current_120fs_talebpour_legacy_raman_on,Filament_python/results/ionization_model_propagation/talebpour_120fs_20260717T114321Z/baseline_axial_diagnostics.csv,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,1.3
Filament_python/configs/raman_phase_causality/120fs_talebpour_full_model_raman_phase_off.json,"{""format"": ""csv"", ""path"": ""Filament_python/results/raman_phase_causality/raman_phase_off_120fs_20260718T201000Z/raman_phase_off_axial_diagnostics.csv"", ""rho_key"": ""rho_max_z"", ""x_key"": ""x_focus_cm"", ""z_key"": ""z_m""}",local axial diagnostics finite; re-audit passed,on,phase6_reaudit_passed,8dcd01ee38adf2167a2fd6083ae4785e94de89a0,on,ppt_talebpour_i_lut,176915,bk_nee,baseline_complex64,Strictly paired with current legacy baseline for propagation.use_raman_phase only; it is not a full Eq.27 comparison.,17.0,phase6,historical_causality_evidence,on,True,Phase 6 legacy Raman phase OFF,120.0,phase_off; absorption_on,rot_sinexp,legacy_split,15000,phase6_legacy_raman_phase_off,Filament_python/results/raman_phase_causality/raman_phase_off_120fs_20260718T201000Z/raman_phase_off_axial_diagnostics.csv,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,1.3
,,missing_complete_curve,unknown,not_assessed,,unknown,historical PPT/Talebpour variant unresolved,,bk_nee,baseline_complex64,No curve is inferred from reports or density-landmark scalars.,17.0,historical_pre_phase5,missing_or_incomplete,unknown,,,120.0,unknown,unknown,unknown,,early_120fs_ppt_or_talebpour_missing,searched local Filament_python/results and configs/ionization_model_propagation; no complete 120 fs historical axial curve found,unknown,not_applicable,flat_top_cosine FT90 radius 1.979 mm,
Filament_python/configs/isaacs_raman_closure/120fs_talebpour_isaacs_full_operator_on.json,,archive curve absent locally; diagnostic audit failed,on,failed_final_total_energy_contract,aad67a100fba612789dba2e41e39fadf04219d63,on,ppt_talebpour_i_lut,179706,bk_nee,baseline_complex64,"Full production executed, but no local rho_max_vs_z archive is available and the total-energy admission failed.",17.0,phase8b_r,invalid_for_physics,on,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,15000,phase8b_full_eq27_job_179706,remote output only: /data/run01/scvi806/user_Wangjimin/phase8b_r2_job1_20260721T090147Z/outputs/job1_full_operator_on.npz,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,1.3
Filament_python/configs/isaacs_raman_closure/120fs_talebpour_isaacs_full_operator_on_energy_audit.json,,diagnostic audit archived; local rho_max_vs_z curve absent,on,failed_final_total_energy_contract_1.41765_percent,e321223b6ee2c79407192ff4be3087fd83ec5ef8,on,ppt_talebpour_i_lut,179988,bk_nee,baseline_complex64,May support numerical root-cause analysis only; it must not support filament-onset physics comparison.,17.0,phase8b_r_replacement,invalid_for_physics,on,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,15000,phase8b_full_eq27_job_179988,remote output only: /data/run01/scvi806/user_Wangjimin/phase8b_r2_replacement_job1_retry_20260721T165000Z/outputs/job1_full_operator_on_energy_audit.npz,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,1.3
,,smoke log only,on,not_full_production_admission,,on,ppt_talebpour_i_lut,179288,bk_nee,baseline_complex64,"20-step, 2 mm smoke; no onset evidence.",17.0,phase8b_preflight,numerical_diagnostic_only,on,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,20,phase8b_preflight_eq27_on_job_179288,Filament_python/results/isaacs_raman_closure/phase8b_preflight/smoke_evidence/phase8b-smoke-179288.out,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,smoke metrics only,on,not_full_production_admission,,on,ppt_talebpour_i_lut,179311,bk_nee,baseline_complex64,Not a full-propagation Raman causality curve.,17.0,phase8b_preflight,numerical_diagnostic_only,on,,,120.0,off,isaacs_rot_sinexp,legacy_none,20,phase8b_preflight_eq27_off_job_179311,Filament_python/results/isaacs_raman_closure/phase8b_preflight/smoke_evidence/phase8b_full_size_smoke_off_metrics.json,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,smoke metrics only; step closure did not meet contract,unknown,not_full_production_admission,,unknown,ppt_talebpour_i_lut,179619,bk_nee,baseline_complex64,Superseded by corrected R1 smoke.,17.0,phase8b_r1,numerical_diagnostic_only,unknown,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,20,phase8b_r1_eq27_on_job_179619,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/r1_smoke_evidence/job_179619/phase8b_full_size_smoke_on_metrics.json,unknown,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,smoke metrics only; gates passed,unknown,not_full_production_admission,,unknown,ppt_talebpour_i_lut,179623,bk_nee,baseline_complex64,"Operator-admission evidence, not onset evidence.",17.0,phase8b_r1,numerical_diagnostic_only,unknown,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,20,phase8b_r1_eq27_on_job_179623,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/r1_smoke_evidence/job_179623/phase8b_full_size_smoke_on_metrics.json,unknown,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,"pure-linear audit passed per-half-step, failed cumulative residual",disabled,failed_pure_lossless_contract,35f42cb9a756019ba1216b29eb96e4c0d7de00c0,disabled,ppt_talebpour_i_lut,180046,bk_nee,baseline_complex64,Identifies complex64 BK-NEE numerical dissipation; no physical onset information.,17.0,phase8b_r4,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,20,r4_complex64_pure_linear_job_180046,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/pure_linear_20step_smoke.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,candidate screen; cumulative residual 2.0719e-5,disabled,failed_pure_lossless_contract,,disabled,ppt_talebpour_i_lut,180055,bk_nee,baseline_complex64,baseline_complex64 candidate.,17.0,phase8b_r5,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,20,r5_complex64_screen_job_180055,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_3_full_grid_linear_screen.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,candidate screen; cumulative residual 2.8386e-5,disabled,failed_pure_lossless_contract,,disabled,ppt_talebpour_i_lut,180056,bk_nee,orthonormal_fft,Rejected numerical candidate.,17.0,phase8b_r5,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,20,r5_orthonormal_fft_screen_job_180056,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_3_full_grid_linear_screen.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,candidate screen; cumulative residual 1.1364e-8,disabled,passed_pure_lossless_contract,,disabled,ppt_talebpour_i_lut,180057,bk_nee,mixed_precision,Selected numerical repair; no physical onset curve.,17.0,phase8b_r5,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,20,r5_mixed_precision_screen_job_180057,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_3_full_grid_linear_screen.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,candidate screen; passed scalar gate with corrective projection,disabled,not_selected,,disabled,ppt_talebpour_i_lut,180058,bk_nee,unitary_projection,Rejected as production numerical strategy.,17.0,phase8b_r5,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,20,r5_unitary_projection_screen_job_180058,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_3_full_grid_linear_screen.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
,,pure-linear long smoke passed,disabled,passed_pure_lossless_contract,,disabled,ppt_talebpour_i_lut,180068,bk_nee,mixed_precision,193 s pure-linear smoke; extrapolation is not a full production audit.,17.0,phase8b_r5,numerical_diagnostic_only,disabled,,,120.0,disabled,disabled,disabled,200,r5_mixed_precision_long_linear_job_180068,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_4_mixed_precision_long_smoke.json,disabled,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.02
,,full-physics smoke passed numerical gates; peak reserved GPU memory not captured,on,performance_gate_failed,,on,ppt_talebpour_i_lut,180076,bk_nee,mixed_precision,58.1 s smoke; projected 12.10 h exceeds 6.4 h gate.,17.0,phase8b_r5,numerical_diagnostic_only,on,,,120.0,on,isaacs_rot_sinexp,full_isaacs_eq27,20,r5_mixed_precision_full_physics_job_180076,Filament_python/results/isaacs_raman_closure/phase8b_controlled_propagation/linear_halfstep_audit/r5_5_full_physics_smoke.json,on,COMPLETED,flat_top_cosine FT90 radius 1.979 mm,0.002
