item,bytes,GiB,MiB,formula,classification,note
one_screen_three_fields,2535624,0.002361484,2.418159485,3*Ny*Nx*8,RAW_PAYLOAD,NPZ metadata/container extra
one_field_prefix,6802233984,6.335074067,6487.115844727,K*Ny*Nx*8,RAW_PAYLOAD,K=8048
one_generation_G,20406701952,19.005222201,19461.347534180,3*K*Ny*Nx*8,RAW_PAYLOAD,not the campaign budget
candidate_current_post_next_retained,163253615616,152.041777611,155690.780273438,(3*N-1)*G,RETENTION_POLICY,three CURRENT; three POST; two NEXT; copied roots; no sharing or deletion
reference_exact_state_snapshots,163253615616,152.041777611,155690.780273438,(3*N-1)*G,RETENTION_POLICY,PRE/POST/next snapshots in isolated Batch; no extra Streaming engine
reference_hr4c_workstores_retained,81626807808,76.020888805,77845.390136719,2*(N-1)*G,RETENTION_POLICY,two slots per nonfinal pulse retained in addition to exports; not production authority
both_tracks_six_diagnostic_archives,244880423424,228.062666416,233536.170410156,2*N*6*F,RAW_PAYLOAD,qthermal/qion/qib/qraman/delta_n_increment/delta_n_state_after; no omitted sink archives
both_tracks_final_optical_fields,3894718464,3.627239227,3714.292968750,2*N*O,RAW_PAYLOAD,"complex128 [384,351,301]; verify actual axis order from source"
shared_frozen_full_source,12678120000,11.807419360,12090.797424316,15000*Ny*Nx*8,RAW_PAYLOAD,"one retained source; no new copy, still occupies filesystem"
e5_1_total_named_scientific_payload,669587300928,623.601769030,638568.211486816,32*G+6*O+F_full,RAW_PAYLOAD,both roots and frozen source; excludes reserve rows below
metadata_headers_logs_allowance,3164602368,2.947265625,3018.000000000,2*N*K*65536,POLICY_ALLOWANCE,64KiB per screen per trajectory/pulse for retained JSON/container/telemetry; verify before execution
concurrent_npz_temporaries,12678120,0.011807419,12.090797424,(1+4)*3*Ny*Nx*8,CONDITIONAL_PAYLOAD,one producer and four workers; headers extra; manifest atomic copy separately allowed
lut_scalar_receipts_extra_allowance,8589934592,8.000000000,8192.000000000,8*2**30,POLICY_ALLOWANCE,LUT/cache plus nine K ledgers and receipts; bind actual small-file inventory at preflight
e5_1_recommended_available_bytes,851693145010,793.201052593,812237.877855301,ceil(1.25*(named_payload+metadata_allowance+npz_temporaries+8GiB)),SUBMISSION_GATE,25% reserve; availability AND quota required; not an observed peak
pre0_selected_and_shared_zero_legacy,13604467968,12.670148134,12974.231689453,2*K*Ny*Nx*8,EXISTING_CALLER_ALLOCATION,legacy advanced-index selected plus shared zero; mapped source extra
recommended_successor_host_input_arrays,20406701952,19.005222201,19461.347534180,3*K*Ny*Nx*8,DESIGNED_CALLER_ALLOCATION,three independent RAM arrays loaded screenwise then passed to existing create; not a zero-copy claim
mapped_source_max_payload,12678120000,11.807419360,12090.797424316,15000*Ny*Nx*8,RESIDENCY_BOUND,mmap virtual size; resident fraction 0..F_full depends on OS; do not count as automatically free
hr4c_block_8_working_set,50712480,0.047229677,48.363189697,(6*8+12)*Ny*Nx*8,HISTORICAL_REFERENCE_CORRECTED,old CSV GiB 0.047236328125 was wrong; 48.363 MiB prose was correct; isolated Batch only; not process RSS
optical_source_and_working_copy,1298239488,1.209079742,1238.097656250,2*Nt*Ny*Nx*16,GPU_LOWER_BOUND,two complex128 fields only; copied host final output separate
optical_conditional_12_fields,7789436928,7.254478455,7428.585937500,12*O,CONDITIONAL_ESTIMATE,"source/working/stage/nonlinear/FFT working arrays allowance, not allocation liveness proof; workspace extra"
host_optical_request,68719476736,64.000000000,65536.000000000,64GiB,POLICY_REQUEST,"G+F_full plus optical host copies, diagnostics and runtime; enforce measured 80% gate"
host_four_workers_request,68719476736,64.000000000,65536.000000000,4*16GiB,POLICY_REQUEST,16GiB per worker; block payload is not whole process peak
host_total_request,137438953472,128.000000000,131072.000000000,64GiB+4*16GiB,POLICY_REQUEST,1+4 topology; scheduler per-task distribution must honor optical allocation
gpu_optical_capacity_recommendation,17179869184,16.000000000,16384.000000000,16GiB,POLICY_CAPACITY,must ALSO fit measured peak within 80%; model/FFT workspace unknown
gpu_each_hydro_capacity_recommendation,8589934592,8.000000000,8192.000000000,8GiB,POLICY_CAPACITY,four workers; actual model capacity unverified; measured 80% gate
checkpoints_and_history,0,0.000000000,0.000000000,C*G with C=0 additional copies,RETENTION_POLICY,all roots already retained; one planned allocation break references root; additional C requires C*G plus headers
stream_manifest_io_conditional,63671799644160,59298.984375000,60722160.000000000,20*N*K*(16384*K),CONDITIONAL_IO_VOLUME,"candidate only; 20 full manifest saves/screen, 16KiB/screen manifest ceiling; not disk residency, not measured; extra polling/replay separately"
