artifact_name,owner_component,location,shape,dtype,count,bytes_each,bytes_total,lifetime,simultaneous_with,retained_after_promotion,accumulates_with_pulse,evidence_source,confidence
one_three_field_generation,HR4C_or_Streaming,filesystem,"3 x [K,Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","generation","all state artifacts","policy dependent","policy dependent","hr4c_state.py estimate_hr4c_generation_bytes; hr4e5s_streaming.py FIELDS","VERIFIED_FROM_CODE"
historical_illustrative_generation,HR4C_or_Streaming,filesystem,"3 x [15000,351,301]","float64",1,38034360000,38034360000,"illustrative only","all state artifacts","not a formal policy","not a formal pulse plan","post_reference_manifest.json hr3b_state_shape plus code formula","DERIVED_FROM_VERIFIED_INPUT"
hr4c_authoritative_slot,HR4CThreeFieldStore,filesystem_memmap,"3 x [K,Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","persistent","HR4C staging and any separately retained Streaming store","yes; slot mapping swaps on commit","no when a single store is reused","hr4c_state.py HR4CThreeFieldStore","VERIFIED_FROM_CODE"
hr4c_staging_slot,HR4CThreeFieldStore,filesystem_memmap,"3 x [K,Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","persistent reusable slot","HR4C authoritative and operator batch","yes; becomes authority after atomic manifest commit","no when a single store is reused","hr4c_state.py HR4CThreeFieldStore.commit_staging","VERIFIED_FROM_CODE"
hr4c_authoritative_plus_staging,HR4CThreeFieldStore,filesystem_memmap,"6 x [15000,351,301]","float64",2,38034360000,76068720000,"persistent two slots","operator batch; possible Streaming coexistence unproven","yes","no for one reused store","hr4c_state.py estimate_hr4c_slot_bytes","DERIVED_FROM_VERIFIED_INPUT"
streaming_CURRENT,StreamingLifecycle,current_screen_npz,"K x 3 x [Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","create through post-promotion","POST NEXT manifest pointer","yes; code does not delete it on promotion","UNKNOWN_REQUIRES_POLICY","hr4e5s_streaming.py create and promote_next_to_current","VERIFIED_FROM_CODE"
streaming_POST,StreamingLifecycle,post_screen_npz,"K x 3 x [Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","POST commit through barrier and post-promotion","CURRENT NEXT barrier and restart","yes; no post-promotion deletion demonstrated","UNKNOWN_REQUIRES_POLICY","hr4e5s_streaming.py commit_post validate_barrier promote_next_to_current","VERIFIED_FROM_CODE"
streaming_NEXT,StreamingLifecycle,next_screen_npz,"K x 3 x [Ny,Nx]","float64",1,"3*K*Ny*Nx*8","3*K*Ny*Nx*8","NEXT commit through next pulse policy","CURRENT POST barrier and pointer","yes; becomes authoritative by pointer","UNKNOWN_REQUIRES_POLICY","hr4e5s_streaming.py commit_next promote_next_to_current","VERIFIED_FROM_CODE"
streaming_CURRENT_POST_NEXT_raw_payload,StreamingLifecycle,filesystem,"9 x [15000,351,301]","float64",3,38034360000,114103080000,"single completed generation lower bound","atomic temporary; HR4C coexistence unknown","yes","UNKNOWN_REQUIRES_POLICY","streaming code namespaces plus verified historical geometry","DERIVED_FROM_VERIFIED_INPUT"
streaming_atomic_npz_temporary,StreamingLifecycle,same_directory_as_target,"3 x [351,301]","float64",1,2535624,2535624,"during one atomic artifact write","committed namespace files","temporary only unless injected restart boundary","no","hr4e5s_streaming.py _atomic_npz","DERIVED_FROM_VERIFIED_INPUT"
