stage,object,role,shape,dtype,quantity,bytes_each,total_bytes,unit,simultaneous,release_gate,evidence,derivation_level
initialize,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,2,20406701952,40813403904,bytes,independent R PRE and C CURRENT,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
initialize,retained_optical,final,"[384,351,301]",complex128,0,649119744,0,bytes,independent R PRE and C CURRENT,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
initialize,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,independent R PRE and C CURRENT,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
initialize,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,independent R PRE and C CURRENT,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
initialize,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,independent R PRE and C CURRENT,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
initialize,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,independent R PRE and C CURRENT,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,8,20406701952,163253615616,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,retained_optical,final,"[384,351,301]",complex128,1,649119744,649119744,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R0_complete,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,R 7G including Batch slots/snapshots/sinks; C CURRENT G,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair0_exact,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,12,20406701952,244880423424,bytes,R 7G + C 5G,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
